date,elec,indu,leap,bef,aft
2012/1/1,22.2,17,0,1,1
2012/2/1,26.3,19.5,0.75,0,0
2012/3/1,30.7,24.2,0,0,0
2012/4/1,28.1,22.2,0,0,0
2012/5/1,29.1,24.2,0,0,0
2012/6/1,29.1,24.3,0,0,0
2012/7/1,34.2,27.9,0,0,0
2012/8/1,33.2,25.1,0,0,0
2012/9/1,28.6,21,0,0,0
2012/10/1,28,22.1,0,0,0
2012/11/1,29.1,24,0,0,0
2012/12/1,32.7,26.5,0,0,0
2013/1/1,32.3,24.9,0,0,0
2013/2/1,22.4,16,-0.25,1,1
2013/3/1,30.1,23.7,0,0,0
2013/4/1,30.3,24.4,0,0,0
2013/5/1,31.2,26.1,0,0,0
2013/6/1,31.2,26,0,0,0
2013/7/1,39.4,32,0,0,0
2013/8/1,40.9,30.9,0,0,0
2013/9/1,33.1,22,0,0,0
2013/10/1,31.9,24.4,0,0,0
2013/11/1,32.7,27.2,0,0,0
2013/12/1,35.7,30.5,0,0,0
2014/1/1,30.1,23.2,0,1,0.125
2014/2/1,29.2,22.1,-0.25,0,0.875
2014/3/1,33,25.8,0,0,0
2014/4/1,31.3,25.5,0,0,0
2014/5/1,32.1,26.6,0,0,0
2014/6/1,31.9,26.4,0,0,0
2014/7/1,36.3,29.8,0,0,0
2014/8/1,35.4,27.7,0,0,0
2014/9/1,33.2,25.1,0,0,0
2014/10/1,32.7,26.3,0,0,0
2014/11/1,33,27.2,0,0,0
2014/12/1,36.9,30.4,0,0,0
2015/1/1,36,28.6,0,0,0
2015/2/1,26.7,20.2,-0.25,1,1
2015/3/1,32.2,25.9,0,0,0
2015/4/1,31.8,25.1,0,0,0
2015/5/1,33.7,27.2,0,0,0
2015/6/1,32.4,27.1,0,0,0
2015/7/1,34.8,28,0,0,0
2015/8/1,37.7,30.1,0,0,0
2015/9/1,34.3,24.8,0,0,0
2015/10/1,33.2,25.8,0,0,0
2015/11/1,34.4,28.5,0,0,0
2015/12/1,39,32.5,0,0,0
2016/1/1,37.1,28.1,0,0.125,0
2016/2/1,23.6,16.5,0.75,0.875,1
2016/3/1,36.1,28.4,0,0,0
2016/4/1,34.8,28.3,0,0,0
2016/5/1,34.9,29.2,0,0,0
2016/6/1,35.2,28.7,0,0,0
2016/7/1,41,32.9,0,0,0
2016/8/1,42.6,31.3,0,0,0
2016/9/1,35.4,23.8,0,0,0
2016/10/1,35.1,26.4,0,0,0
2016/11/1,36.8,30.4,0,0,0
