date,elec,leap,bef,aft
2012/1/1,40.5289,0,1,1
2012/2/1,46.2695,0.75,0,0
2012/3/1,53.8775,0,0,0
2012/4/1,53.3135,0,0,0
2012/5/1,65.389,0,0,0
2012/6/1,65.7674,0,0,0
2012/7/1,70.6911,0,0,0
2012/8/1,74.1988,0,0,0
2012/9/1,63.4502,0,0,0
2012/10/1,56.5572,0,0,0
2012/11/1,50.5533,0,0,0
2012/12/1,52.5618,0,0,0
2013/1/1,51.8234,0,0,0
2013/2/1,33.9925,-0.25,1,1
2013/3/1,54.1389,0,0,0
2013/4/1,53.705,0,0,0
2013/5/1,63.5747,0,0,0
2013/6/1,69.2244,0,0,0
2013/7/1,72.7637,0,0,0
2013/8/1,73.141,0,0,0
2013/9/1,68.4337,0,0,0
2013/10/1,58.8688,0,0,0
2013/11/1,54.8399,0,0,0
2013/12/1,56.1848,0,0,0
2014/1/1,47.415951,0,1,0.125
2014/2/1,41.6261,-0.25,0,0.875
2014/3/1,56.7963,0,0,0
2014/4/1,58.006,0,0,0
2014/5/1,66.6589,0,0,0
2014/6/1,76.7263,0,0,0
2014/7/1,83.4114,0,0,0
2014/8/1,80.4939,0,0,0
2014/9/1,75.7682,0,0,0
2014/10/1,64.338,0,0,0
2014/11/1,56.8348,0,0,0
2014/12/1,57.7492,0,0,0
2015/1/1,56.726,0,0,0
2015/2/1,36.613,-0.25,1,1
2015/3/1,56.0354,0,0,0
2015/4/1,60.0134,0,0,0
2015/5/1,70.0389,0,0,0
2015/6/1,79.1066,0,0,0
2015/7/1,81.1333,0,0,0
2015/8/1,82.2545,0,0,0
2015/9/1,74.2056,0,0,0
2015/10/1,64.5584,0,0,0
2015/11/1,59.8291,0,0,0
2015/12/1,58.8091,0,0,0
2016/1/1,57.7358,0,0.125,0
2016/2/1,40.2707,0.75,0.875,1
2016/3/1,60.7387,0,0,0
2016/4/1,62.0031,0,0,0
2016/5/1,72.2617,0,0,0
2016/6/1,81.9793,0,0,0
2016/7/1,88.4225,0,0,0
2016/8/1,85.8489,0,0,0
2016/9/1,78.7005,0,0,0
2016/10/1,71.0448,0,0,0
2016/11/1,62.8518,0,0,0
2016/12/1,61.7123,0,0,0
2017/1/1,50.3206,0,1,0.5
2017/2/1,48.8097,-0.25,0,0.5
2017/3/1,64.3025,0,0,0
2017/4/1,63.9516,0,0,0
2017/5/1,73.9755,0,0,0
2017/6/1,89.273,0,0,0
2017/7/1,86.367,0,0,0
2017/8/1,96.1202,0,0,0
2017/9/1,92.163,0,0,0
2017/10/1,74.3622,0,0,0
2017/11/1,64.4714,0,0,0
2017/12/1,65.4698,0,0,0
2018/1/1,67.0607,0,0,0
2018/2/1,44.0731,-0.25,1,1
2018/3/1,65.2671,0,0,0
2018/4/1,66.7084,0,0,0
2018/5/1,92.4033,0,0,0
2018/6/1,89.1538,0,0,0
2018/7/1,101.2814,0,0,0
2018/8/1,99.1995,0,0,0
2018/9/1,89.6207,0,0,0
2018/10/1,73.6824,0,0,0
