Year,Model,Component,Attention bottleneck units,Dense layer 1 units,Dense layer 2 units,Recurrent unit 1,Recurrent unit 2,Dropout,Learning rate,Tuner epochs,Tuner initial epoch,Tuner bracket,Tuner round,X13 log handling
2024,CNN-ATT,Full,3,80,76,,,0.14695228204353922,0.01,10,4,2,1,Not applicable
2024,X13-HP-CNN-ATT,Cycle,4,188,88,,,0.36606660546333825,0.0001,30,0,0,0,Automatic (log=None)
2024,HP-CNN-ATT,Cycle,4,188,124,,,0.3897891393010515,0.001,10,4,2,1,Not applicable
2024,HP-CNN-ATT,Trend,1,200,100,,,0.15317152497062594,0.01,20,0,0,0,Not applicable
2024,X13-HP-CNN-ATT,Trend,3,116,64,,,0.19662578914131223,0.0001,20,7,2,2,Automatic (log=None)
2024,X13-HP-BiLSTM-ATT,Cycle,,236,88,168,144,0.11800477975899111,0.001,30,10,1,1,Automatic (log=None)
2024,X13-HP-BiLSTM-ATT,Trend,,140,100,24,192,0.22015632926967377,0.01,20,0,0,0,Automatic (log=None)
2024,X13-HP-CNN-B-ATT,Cycle,2,212,124,,,0.47697835385324716,0.01,30,10,1,1,Automatic (log=None)
2024,X13-HP-CNN-B-ATT,Trend,2,236,88,,,0.3816556535572827,0.0001,20,7,1,1,Automatic (log=None)
2024,X13-HP-CNN-BiLSTM,Cycle,3,56,64,96,96,0.30168483809895813,0.01,30,0,0,0,Automatic (log=None)
2024,X13-HP-CNN-BiLSTM,Trend,4,116,64,192,240,0.47192405071974075,0.001,20,7,2,2,Automatic (log=None)
2024,X13-HP-CNN-C-ATT,Cycle,2,56,76,,,0.19935843832669697,0.01,10,0,1,0,Automatic (log=None)
2024,X13-HP-CNN-C-ATT,Trend,3,140,112,,,0.37812458174314656,0.0001,20,7,2,2,Automatic (log=None)
2024,X13-HP-CNN-D-ATT,Cycle,2,56,64,,,0.38667398882871806,0.001,10,0,1,0,Automatic (log=None)
2024,X13-HP-CNN-D-ATT,Trend,3,140,112,,,0.37812458174314656,0.0001,20,7,2,2,Automatic (log=None)
2024,X13-HP-CNN-E-ATT,Cycle,1,188,100,,,0.21816139784325875,0.001,30,10,3,3,Automatic (log=None)
2024,X13-HP-CNN-E-ATT,Trend,1,80,76,,,0.18440423261402714,0.0001,20,7,1,1,Automatic (log=None)
2024,X13-HP-LSTM-ATT,Cycle,,164,124,168,216,0.11828899731746373,0.01,30,10,1,1,Automatic (log=None)
2024,X13-HP-LSTM-ATT,Trend,,152,64,96,120,0.14333327092839498,0.001,3,0,2,0,Automatic (log=None)
2024,X13-HP-RNN-ATT,Cycle,,188,112,120,240,0.2795872162687452,0.01,30,0,0,0,Automatic (log=None)
2024,X13-HP-RNN-ATT,Trend,,104,124,120,144,0.4342654941971237,0.01,20,7,1,1,Automatic (log=None)
2024,X13-CNN-ATT,Full,1,140,112,,,0.49696631436727645,0.001,10,0,1,0,Automatic (log=None)
2025,CNN-ATT,Full,3,164,64,,,0.47421552430918,0.001,30,10,2,2,Not applicable
2025,X13-HP-CNN-ATT,Cycle,4,200,88,,,0.49211182768777106,0.001,30,10,1,1,Automatic (log=None)
2025,HP-CNN-ATT,Cycle,4,188,124,,,0.3897891393010515,0.001,4,0,2,0,Not applicable
2025,HP-CNN-ATT,Trend,1,116,112,,,0.41568642226533403,0.001,7,0,1,0,Not applicable
2025,X13-HP-CNN-ATT,Trend,3,68,100,,,0.32534377160567807,0.001,20,0,0,0,Automatic (log=None)
2025,X13-HP-BiLSTM-ATT,Cycle,,188,112,72,72,0.10984707013390071,0.001,30,10,2,2,Automatic (log=None)
2025,X13-HP-BiLSTM-ATT,Trend,,116,64,192,240,0.47192405071974075,0.001,20,7,2,2,Automatic (log=None)
2025,X13-HP-CNN-B-ATT,Cycle,1,164,124,,,0.4397721292924658,0.0001,30,0,0,0,Automatic (log=None)
2025,X13-HP-CNN-B-ATT,Trend,1,164,124,,,0.4954892489259144,0.01,20,0,0,0,Automatic (log=None)
2025,X13-HP-CNN-BiLSTM,Cycle,3,212,124,72,240,0.32546991463001385,0.001,30,10,2,2,Automatic (log=None)
2025,X13-HP-CNN-BiLSTM,Trend,4,104,76,192,96,0.15939796757699637,0.001,20,7,1,1,Automatic (log=None)
2025,X13-HP-CNN-C-ATT,Cycle,2,80,124,,,0.1472414068159945,0.001,4,0,2,0,Automatic (log=None)
2025,X13-HP-CNN-C-ATT,Trend,1,68,100,,,0.16999891500100883,0.01,3,0,2,0,Automatic (log=None)
2025,X13-HP-CNN-D-ATT,Cycle,1,224,124,,,0.3804973750878805,0.0001,30,10,1,1,Automatic (log=None)
2025,X13-HP-CNN-D-ATT,Trend,2,224,76,,,0.45694284255486217,0.01,20,0,0,0,Automatic (log=None)
2025,X13-HP-CNN-E-ATT,Cycle,2,128,124,,,0.2287104143395959,0.001,10,4,2,1,Automatic (log=None)
2025,X13-HP-CNN-E-ATT,Trend,1,140,64,,,0.3765682033631387,0.001,20,7,1,1,Automatic (log=None)
2025,X13-HP-LSTM-ATT,Cycle,,164,76,120,24,0.12123347007248429,0.01,30,10,1,1,Automatic (log=None)
2025,X13-HP-LSTM-ATT,Trend,,152,64,96,120,0.14333327092839498,0.001,20,7,2,2,Automatic (log=None)
2025,X13-HP-RNN-ATT,Cycle,,164,124,168,216,0.11828899731746373,0.01,30,10,1,1,Automatic (log=None)
2025,X13-HP-RNN-ATT,Trend,,44,112,168,192,0.24487455693364069,0.001,20,0,0,0,Automatic (log=None)
2025,X13-CNN-ATT,Full,1,224,124,,,0.1610738040647006,0.001,30,10,2,2,Automatic (log=None)
