Dataset,Metric,Model,Metric difference,DM p-value,Bootstrap p-value,Bootstrap 95% CI low,Bootstrap 95% CI high,Block bootstrap 95% CI low,Block bootstrap 95% CI high,Holm-adjusted DM p-value
Changzhou (primary),RMSE,CNN-ATT,2.61,0.0,<0.0001,1.54,3.73,,,0.0
Changzhou (primary),MAE,CNN-ATT,2.64,5e-05,<0.0001,1.61,3.71,,,0.00055
Changzhou (primary),RMSE,X13-CNN-ATT,0.47,0.1846,0.1361,-0.15,1.08,,,0.9294
Changzhou (primary),MAE,X13-CNN-ATT,0.55,0.0613,0.0601,-0.03,1.11,,,0.4904
Changzhou (primary),RMSE,HP-CNN-ATT,0.88,0.1549,0.0766,-0.15,1.79,,,0.9294
Changzhou (primary),MAE,HP-CNN-ATT,0.76,0.0946,0.0676,-0.04,1.58,,,0.5676
Changzhou (primary),RMSE,X13-HP-CNN-B-ATT,0.16,0.5152,0.5050,-0.26,0.67,,,1.0
Changzhou (primary),MAE,X13-HP-CNN-B-ATT,0.26,0.2317,0.2141,-0.12,0.69,,,0.5676
Changzhou (primary),RMSE,X13-HP-CNN-C-ATT,0.06,0.8167,0.8461,-0.57,0.55,,,1.0
Changzhou (primary),MAE,X13-HP-CNN-C-ATT,0.08,0.6802,0.7585,-0.43,0.54,,,0.6802
Changzhou (primary),RMSE,X13-HP-CNN-D-ATT,0.19,0.2819,0.3937,-0.26,0.63,,,0.9294
Changzhou (primary),MAE,X13-HP-CNN-D-ATT,0.26,0.1399,0.2327,-0.17,0.68,,,0.5676
Changzhou (primary),RMSE,X13-HP-CNN-E-ATT,0.35,0.2288,0.1761,-0.12,0.89,,,0.9294
Changzhou (primary),MAE,X13-HP-CNN-E-ATT,0.4,0.1078,0.1014,-0.07,0.88,,,0.5676
Changzhou (primary),RMSE,X13-HP-BiLSTM-ATT,1.29,0.0045,0.0001,0.67,1.95,,,0.045
Changzhou (primary),MAE,X13-HP-BiLSTM-ATT,1.15,0.0022,0.0007,0.48,1.82,,,0.022000000000000002
Changzhou (primary),RMSE,X13-HP-LSTM-ATT,1.39,0.07,0.0153,0.23,2.49,,,0.56
Changzhou (primary),MAE,X13-HP-LSTM-ATT,1.14,0.0327,0.0151,0.25,2.09,,,0.2943
Changzhou (primary),RMSE,X13-HP-RNN-ATT,1.18,0.0492,0.0176,0.22,2.18,,,0.4428
Changzhou (primary),MAE,X13-HP-RNN-ATT,0.88,0.076,0.0473,0.06,1.8,,,0.532
Changzhou (primary),RMSE,X13-HP-CNN-BiLSTM,0.54,0.0942,0.0571,-0.04,1.06,,,0.6594
Changzhou (primary),MAE,X13-HP-CNN-BiLSTM,0.51,0.1003,0.0742,-0.06,1.06,,,0.5676
Guangzhou (cross-city),RMSE,CNN-ATT,2.89,0.0076,0.0022,1.01,4.85,1.3724779706427697,4.557550338241666,0.0836
Guangzhou (cross-city),MAE,CNN-ATT,2.45,0.0039,0.0049,0.75,4.2,1.3907285114583372,3.6343231364583275,0.0429
